Parent Tree Number,Vegetation Code,Parent Tree Reg Status Code,Local Number,Active Ind,Tested Ind,Breeding Program Ind,Selection Date,BC Source Ind,Client Number,Client Locn Code,Natural Selection Type Code,Geographic Location,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Degrees,Longitude Minutes,Longitude Seconds,Seed Plan Zone Code,Elevation, Selection Age,BGC Zone Code,BGC Subzone Code,BGC Variant,Breeding Selection Type Code,Female Parent Parent Tree Number,Male Parent Parent Tree Number,Parent Tree Comment
"50","PLI","APP","SCA 36","N","N","N","2005-06-24","Y","00012797","09","PT","MI 416 ALA","58","51","0","125","10","0","FN","693","45","","","","","","",""
"51","PLI","APP","SCA 37","N","N","N","2005-06-24","Y","00012797","09","PT","MI 443 ALA","58","47","0","125","41","0","FN","884","90","","","","","","",""
"52","PLI","APP","SCA 38","N","N","N","2005-06-24","Y","00012797","09","PT","MI 450 ALA","58","50","0","125","43","0","FN","1097","122","","","","","","",""
"53","PLI","APP","SCA39","N","N","N","1970-07-17","Y","00005581","00","PT","MI470 ALA","59","8","0","125","52","0","FN","884","90","SBS","","","","","",""
"54","PLI","APP","SCA40","N","N","N","1970-07-18","Y","00005581","00","PT","MI495 ALA","59","25","0","126","5","0","FN","838","59","SBS","","","","","",""
"55","PLI","APP","SCA41","N","N","N","1970-07-18","Y","00005581","00","PT","MI512 ALA","59","33","0","126","25","0","DK","533","81","SBS","","","","","",""
"56","PLI","APP","SCA42","N","N","N","1970-07-18","Y","00005581","00","PT","SMITH R RD","59","40","0","126","27","0","DK","610","120","SBS","","","","","",""
"57","PLI","APP","SCA43","N","N","N","1970-07-19","Y","00005581","00","PT","CN ROAD","59","38","0","126","44","0","DK","1006","82","SBS","","","","","",""
"58","PLI","APP","SCA44","N","N","N","1970-07-19","Y","00005581","00","PT","CN ROAD","59","37","0","126","43","0","DK","860","90","SBS","","","","","",""
"59","PLI","APP","SCA45","N","N","N","1970-07-20","Y","00005581","00","PT","CN ROAD","59","37","0","126","43","0","DK","792","108","SBS","","","","","",""
"60","PLI","APP","SCA46","N","N","N","1970-07-20","Y","00005581","00","PT","MI605 ALA","59","58","0","128","6","0","DK","716","39","SBS","","","","","",""
"61","PLI","APP","SCA47","N","N","N","1970-07-21","Y","00005581","00","PT","MI3 CASSI","59","59","0","129","3","0","999","814","90","SBS","","","","","",""
"62","PLI","APP","SCA48","N","N","N","1970-07-21","Y","00012797","04","PT","MI11 CASSI","59","53","0","129","9","0","DK","853","152","SBS","","","","","",""
"63","PLI","APP","SCA49","N","N","N","1970-07-21","N","00005581","00","PT","CASSIAR HW","60","2","0","129","2","0","999","716","108","SBS","","","","","",""
"64","PLI","APP","SCA51","N","N","N","1970-07-22","N","00005581","00","PT","MI21 ROSS","60","17","0","128","54","0","999","899","113","SBS","","","","","",""
"65","PLI","APP","SCA52","N","N","N","1970-07-22","N","00005581","00","PT","MI21 ROSS","60","17","0","128","55","0","999","747","113","SBS","","","","","",""
"66","PLI","APP","SCA53","N","N","N","1970-07-23","Y","00005581","00","PT","MI81 CASS","59","17","0","129","52","0","DK","1089","49","SBS","","","","","",""
"67","PLI","APP","SCA54","N","N","N","1970-07-23","Y","00005581","00","PT","DEASE HWY","59","13","0","129","44","0","DK","997","65","SBS","","","","","",""
"68","PLI","APP","SCA55","N","N","N","1970-07-23","Y","00005581","00","PT","MI75 CASS","59","16","0","129","39","0","DK","945","76","SBS","","","","","",""
"69","PLI","APP","SCA56","N","N","N","1970-07-24","N","00005581","00","PT","MI684 ALA","60","10","0","130","0","0","999","1028","110","SBS","","","","","",""
"70","PLI","APP","SCA57","N","N","N","1970-07-24","N","00005581","00","PT","MI680 ALA","60","11","0","129","53","0","999","884","70","SBS","","","","","",""
"71","PLI","APP","SCA58","N","N","N","1970-07-26","Y","00005581","00","PT","MI66 CASS","59","16","0","129","25","0","DK","845","74","SBS","","","","","",""
"72","PLI","APP","SCA59","N","N","N","1970-07-26","Y","00005581","00","PT","MI71 CASS","59","17","0","129","27","0","DK","884","64","SBS","","","","","",""
"73","PLI","APP","SCA60","N","N","N","1970-07-26","Y","00005581","00","PT","MI67 CASS","59","16","0","129","22","0","DK","830","63","SBS","","","","","",""
"74","PLI","APP","SCA61","N","N","N","1970-07-26","Y","00005581","00","PT","MI51 CASS","59","23","0","129","8","0","DK","747","82","SBS","","","","","",""
"75","PLI","APP","SCA63","N","N","N","1970-07-27","Y","00005581","00","PT","MI618 ALA","59","56","0","128","26","0","DK","617","76","SBS","","","","","",""
"76","PLI","APP","SCA64","N","N","N","1970-07-29","Y","00005581","00","PT","MCDONALD L","59","41","0","133","38","0","DK","936","139","SBS","","","","","",""
"77","PLI","APP","SCA66","N","N","N","1970-07-30","N","00005581","00","PT","MI874 ALA","60","24","0","134","5","0","999","762","84","SBS","","","","","",""
"78","PLI","APP","SCA68","N","N","N","1970-08-02","N","00005581","00","PT","WHITEHRS","60","44","0","135","3","0","999","647","60","SBS","","","","","",""
"79","PLI","APP","SCA69","N","N","N","1970-08-02","N","00005581","00","PT","FISH L RD","60","44","0","135","9","0","999","823","39","SBS","","","","","",""
"80","PLI","APP","SCA70","N","N","N","1970-08-03","N","00005581","00","PT","MI866 ALA","60","17","0","134","12","0","999","952","71","SBS","","","","","",""
"81","PLI","APP","SCA71","Y","N","N","1970-08-04","N","00005581","00","PT","MI931 ALA","60","49","0","135","24","0","999","799","68","SBS","","","","","",""
"82","PLI","APP","SCA72","N","N","N","1970-08-04","N","00005581","00","PT","MI925 ALA","60","49","0","135","12","0","999","701","69","SBS","","","","","",""
"83","PLI","APP","SCA73","N","N","N","1970-08-05","N","00005581","00","PT","TAKHINI HS","60","53","0","135","20","0","999","693","87","SBS","","","","","",""
"84","PLI","APP","SCA74","N","N","N","1970-08-06","N","00005581","00","PT","CHADBURN L","60","43","0","135","1","0","999","655","72","SBS","","","","","",""
"85","PLI","APP","SCA75","N","N","N","1970-08-09","N","00005581","00","PT","ROSS R","60","8","0","128","48","0","999","680","78","SBS","","","","","",""
"86","PLI","APP","SCA76","N","N","N","1970-08-09","N","00005581","00","PT","MI10 ROSS","60","10","0","128","48","0","999","701","76","SBS","","","","","",""
"87","PLI","APP","SCA77","Y","N","N","1970-08-09","N","00005581","00","PT","MI70 ROSS","60","56","0","129","15","0","999","799","78","SBS","","","","","",""
"88","PLI","APP","SCA78","N","N","N","1970-08-10","N","00005581","00","PT","MI79 ROSS","61","3","0","129","16","0","999","884","85","SBS","","","","","",""
"89","PLI","APP","SCA79","N","N","N","1970-08-10","N","00005581","00","PT","MI90 ROSS","61","11","0","129","28","0","999","914","78","SBS","","","","","",""
"90","PLI","APP","SCA80","N","N","N","1970-08-11","N","00005581","00","PT","MI124 ROSS","61","31","0","129","55","0","999","945","37","SBS","","","","","",""
"91","PLI","APP","SCA81","Y","N","N","1970-08-12","N","00005581","00","PT","MI262 ROSS","62","10","0","133","30","0","999","777","71","SBS","","","","","",""
"92","PLI","APP","SCA82","N","N","N","1970-08-12","N","00005581","00","PT","MI269 ROSS","62","10","0","133","32","0","999","732","111","SBS","","","","","",""
"93","PLI","APP","SCA83","Y","N","N","1970-08-12","N","00005581","00","PT","MI293 ROSS","62","12","0","134","25","0","999","625","40","SBS","","","","","",""
"94","PLI","APP","SCA84","N","N","N","1970-08-14","N","00005581","00","PT","MI121 DAW","62","15","0","136","20","0","999","586","72","SBS","","","","","",""
"95","PLI","APP","SCA85","N","N","N","1970-08-14","N","00005581","00","PT","MI107 DAW","62","11","0","136","17","0","999","678","28","SBS","","","","","",""
"96","PLI","APP","SCA86","N","N","N","1970-08-17","N","00005581","00","PT","STEWARTCRO","63","22","0","136","43","0","999","571","113","SBS","","","","","",""
"97","PLI","APP","SCA87","N","N","N","1970-08-17","N","00005581","00","PT","ETHEL L RD","63","18","0","136","35","0","999","671","40","SBS","","","","","",""
"98","PLI","APP","SCA88","N","N","N","1970-08-18","N","00005581","00","PT","MI197 DAW","63","10","0","136","30","0","999","823","38","SBS","","","","","",""
"99","PLI","APP","SCA89","N","N","N","1970-08-18","N","00005581","00","PT","MI153 DAW","62","40","0","136","48","0","999","564","68","SBS","","","","","",""
"100","PLI","APP","SCA90","N","N","N","1970-08-18","N","00005581","00","PT","MI139 DAW","62","29","0","136","41","0","999","518","70","SBS","","","","","",""
"101","PLI","APP","SCA91","N","N","N","1970-10-12","Y","00005581","00","PT","MI428 ALA","58","52","0","125","23","0","FN","853","63","SBS","","","","","",""
"102","PLI","APP","SK1","N","N","N","1971-08-09","Y","00005581","00","PT","F S JAMES","54","11","0","124","13","0","NCH","850","86","SBS","","","","","",""
"103","PLI","APP","SK2","Y","N","N","1971-08-09","Y","00005581","00","PT","F S JAMES","54","16","0","124","15","0","NCH","765","97","SBS","","","","","",""
"104","PLI","INC","SK3","N","N","N","1971-08-09","Y","00005581","00","PT","F S JAMES","54","21","0","124","17","0","CP","774","109","SBS","","","","","",""
"105","PLI","APP","SK4","Y","Y","Y","1971-08-11","Y","00005581","00","PT","F S JAMES","54","30","0","124","7","0","CP","792","105","SBS","","","","","",""
"106","PLI","APP","SK5","Y","Y","Y","1971-08-11","Y","00005581","00","PT","F S JAMES","54","34","0","124","7","0","CP","756","128","SBS","","","","","",""
"107","PLI","APP","SK6","Y","Y","Y","1971-08-11","Y","00005581","00","PT","F S JAMES","54","36","0","124","8","0","CP","250","126","SBS","","","","","",""
"108","PLI","APP","SK7","Y","Y","Y","1971-08-11","Y","00005581","00","PT","F S JAMES","54","40","0","124","9","0","CP","808","75","SBS","","","","","",""
"109","PLI","APP","SK8","Y","Y","Y","1971-08-11","Y","00005581","00","PT","TSILCOH C","54","40","0","124","8","0","CP","802","92","SBS","","","","","",""
"110","PLI","APP","SK9","Y","Y","Y","1971-08-11","Y","00005581","00","PT","F S JAMES","54","44","0","124","9","0","CP","844","96","SBS","","","","","",""
"111","PLI","INC","SK10","N","N","N","1971-08-11","Y","00005581","00","PT","F S JAMES","54","46","0","124","9","0","CP","804","80","SBS","","","","","",""
"112","PLI","INC","SK11","N","N","N","1971-08-11","Y","00005581","00","PT","F S JAMES","54","49","0","124","8","0","CP","853","82","SBS","","","","","",""
"113","PLI","APP","SK12","Y","Y","Y","1971-08-11","Y","00005581","00","PT","F S JAMES","54","44","0","124","11","0","CP","875","63","SBS","","","","","",""
"114","PLI","APP","SK13","Y","Y","Y","1971-08-12","Y","00005581","00","PT","MIKES CORN","54","52","0","124","10","0","CP","878","232","SBS","","","","","",""
"115","PLI","APP","SK14","Y","Y","Y","1971-08-12","Y","00005581","00","PT","LYNX C","54","54","0","124","9","0","CP","933","224","SBS","","","","","",""
"116","PLI","APP","SK15","Y","Y","Y","1971-08-12","Y","00005581","00","PT","BIG C","54","57","0","124","12","0","CP","975","75","SBS","","","","","",""
"117","PLI","APP","SK17","Y","Y","Y","1971-08-12","Y","00005581","00","PT","BIG C","54","59","0","124","15","0","CP","975","86","SBS","","","","","",""
"118","PLI","APP","SK18","Y","Y","Y","1971-08-12","Y","00005581","00","PT","BIG C","55","1","0","124","14","0","CP","1006","73","SBS","","","","","",""
"119","PLI","APP","SK19","Y","Y","Y","1971-08-12","Y","00005581","00","PT","F S JAMES","55","5","0","124","13","0","CP","986","103","SBS","","","","","",""
"120","PLI","INC","SK20","N","N","N","1971-08-12","Y","00005581","00","PT","F S JAMES","55","11","0","124","14","0","CP","936","89","SBS","","","","","",""
"121","PLI","APP","SK21","N","N","N","1971-08-13","Y","00005581","00","PT","F S JAMES","55","11","0","124","16","0","CP","920","87","SBS","","","","","",""
"122","PLI","APP","SK22","Y","Y","Y","1971-08-15","Y","00005581","00","PT","NATION LKS","55","11","0","124","14","0","CP","884","84","SBS","","","","","",""
"123","PLI","INC","SK23","N","N","N","1971-08-15","Y","00005581","00","PT","NATION R B","55","13","0","124","14","0","CP","890","66","SBS","","","","","",""
"124","PLI","APP","SK24","Y","Y","Y","1971-08-14","Y","00005581","00","PT","SYLVESTERC","55","16","0","124","8","0","FIN","933","72","SBS","","","","","",""
"125","PLI","APP","SK25","Y","Y","Y","1971-08-15","Y","00005581","00","PT","L GAFFNEYC","55","22","0","124","2","0","FIN","1006","162","SBS","","","","","",""
"126","PLI","INC","SK26","N","N","N","1971-08-14","Y","00005581","00","PT","L GAFFNEYC","55","22","0","124","3","0","FIN","957","73","SBS","","","","","",""
"127","PLI","APP","SK27","Y","Y","Y","1971-08-14","Y","00005581","00","PT","L GAFFNEYC","55","24","0","124","2","0","FIN","988","71","SBS","","","","","",""
"128","PLI","APP","SK28","Y","N","N","1971-08-14","Y","00005581","00","PT","U GAFFNEYC","55","26","0","124","6","0","FIN","994","65","SBS","","","","","",""
"129","PLI","APP","SK29","Y","Y","Y","1971-08-14","Y","00005581","00","PT","GAFFNEY C","55","27","0","124","8","0","FIN","920","87","SBS","","","","","",""
"130","PLI","APP","SK30","Y","Y","Y","1971-08-14","Y","00005581","00","PT","GAFFNEY C","55","28","0","124","9","0","FIN","887","82","SBS","","","","","",""
"131","PLI","APP","SK31","Y","Y","Y","1971-08-14","Y","00005581","00","PT","GAFFNEY C","55","31","0","124","9","0","FIN","884","82","SBS","","","","","",""
"132","PLI","APP","SK32","Y","N","N","1971-08-15","Y","00005581","00","PT","GAFFNEY C","55","33","0","124","10","0","FIN","853","86","SBS","","","","","",""
"133","PLI","APP","SK33","Y","Y","Y","1971-08-15","Y","00005581","00","PT","SALMON C","55","33","0","124","13","0","FIN","886","78","SBS","","","","","",""
"134","PLI","APP","SK33","Y","N","N","1971-08-15","Y","00005581","00","PT","SALMON C","55","33","0","124","13","0","FIN","886","78","SBS","","","","","",""
"135","PLI","APP","SK35","Y","Y","Y","1971-08-16","Y","00005581","00","PT","GRANITE C","55","36","0","124","21","0","FIN","914","73","SBS","","","","","",""
"136","PLI","APP","SK35","N","N","N","1971-08-16","Y","00005581","00","PT","GRANITE C","55","36","0","124","17","0","FIN","914","73","SBS","","","","","",""
"137","PLI","APP","SK37","Y","Y","Y","1971-08-16","Y","00005581","00","PT","GRANITE C","55","38","0","124","20","0","FIN","914","72","SBS","","","","","",""
"138","PLI","APP","SK38","Y","Y","Y","1971-08-16","Y","00005581","00","PT","GRANITE C","55","40","0","124","22","0","FIN","914","89","SBS","","","","","",""
"139","PLI","APP","SK38","Y","Y","N","1971-08-16","Y","00005581","00","PT","GRANITE C","55","40","0","124","22","0","FIN","914","89","SBS","","","","","",""
"140","PLI","APP","SK39","Y","Y","N","1971-08-16","Y","00005581","00","PT","MANSON C","55","40","0","124","26","0","FIN","948","81","SBS","","","","","",""
"141","PLI","APP","SK40","N","N","N","1971-08-16","Y","00005581","00","PT","MANSON C","55","41","0","124","30","0","FIN","960","89","SBS","","","","","",""
"142","PLI","INC","SK41","N","N","N","1971-08-16","Y","00005581","00","PT","GERMANSN C","55","41","0","124","33","0","FIN","1030","79","SBS","","","","","",""
"143","PLI","INC","SK42","N","N","N","1971-08-16","Y","00005581","00","PT","GERMANSN R","55","41","0","124","38","0","FIN","1036","69","SBS","","","","","",""
"144","PLI","INC","SK43","N","N","N","1971-08-16","Y","00005581","00","PT","GERMANSN R","55","42","0","124","39","0","FIN","963","78","SBS","","","","","",""
"145","PLI","INC","SK44","N","N","N","1971-08-16","Y","00005581","00","PT","LOPERS DIT","55","43","0","124","39","0","FIN","954","64","SBS","","","","","",""
"146","PLI","INC","SK45","N","N","N","1971-08-16","Y","00005581","00","PT","NM HELICOP","55","46","0","124","40","0","FIN","856","74","SBS","","","","","",""
"147","PLI","INC","SK46","N","N","N","1971-08-18","Y","00005581","00","PT","MONTNEY","56","25","0","121","9","0","HH","844","75","SBS","","","","","",""
"148","PLI","INC","SK47","N","N","N","1971-08-18","Y","00005581","00","PT","F S JOHN","56","32","0","121","14","0","HH","823","110","SBS","","","","","",""
"149","PLI","APP","SK48","N","N","N","1971-08-18","Y","00005581","00","PT","F S JOHN","56","33","0","121","19","0","HH","853","91","SBS","","","","","",""
"150","PLI","APP","SK49","N","N","N","1971-08-18","Y","00005581","00","PT","F S JOHN","56","38","0","121","34","0","HH","914","90","SBS","","","","","",""
"151","PLI","APP","SK50","N","N","N","1971-08-18","Y","00005581","00","PT","F S JOHN","56","41","0","121","41","0","HH","927","120","SBS","","","","","",""
"152","PLI","APP","PG111","N","N","N","1975-10-17","Y","00012797","09","PT","600 RD","53","8","0","122","9","0","NCH","960","160","SBS","","","","","",""
"153","PLI","INC","SK51","N","N","N","1971-08-18","Y","00005581","00","PT","F S JOHN","56","43","0","121","46","0","HH","942","112","SBS","","","","","",""
"154","PLI","APP","SK52","N","N","N","1971-08-19","Y","00005581","00","PT","HUDSONS HO","56","3","0","121","52","0","HH","552","118","SBS","","","","","",""
"155","PLI","INC","SK53","N","N","N","1971-08-19","Y","00005581","00","PT","FARREL C","56","7","0","121","41","0","HH","530","72","SBS","","","","","",""
"156","PLI","INC","SK54","N","N","N","1971-08-19","Y","00005581","00","PT","HUDSONS HO","56","8","0","121","39","0","HH","530","101","SBS","","","","","",""
"157","PLI","INC","SK55","N","N","N","1971-08-19","Y","00005581","00","PT","HUDSONS HO","56","0","0","122","8","0","HH","738","122","SBS","","","","","",""
"158","PLI","INC","SK56","N","N","N","1971-08-19","Y","00005581","00","PT","HUDSONS HO","56","2","0","122","2","0","HH","774","120","SBS","","","","","",""
"159","PLI","APP","SK57","N","N","N","1971-08-19","Y","00005581","00","PT","CHETWYND","55","58","0","121","52","0","HH","783","85","SBS","","","","","",""
"160","PLI","APP","SK58","N","N","N","1971-08-20","Y","00005581","00","PT","CHETWYND","55","50","0","121","37","0","HH","805","111","SBS","","","","","",""
"161","PLI","APP","SK59","N","N","N","1971-08-19","Y","00005581","00","PT","CHETWYND","55","46","0","121","35","0","HH","991","105","SBS","","","","","",""
"162","PLI","APP","SK60","N","N","N","1971-08-20","Y","00005581","00","PT","CHETWYND","55","45","0","121","35","0","HH","945","87","SBS","","","","","",""
"163","PLI","APP","SK63","Y","Y","Y","1971-08-21","Y","00005581","00","PT","HART HWY","55","8","0","122","56","0","MGR","652","71","SBS","","","","","",""
"164","PLI","APP","SK64","Y","Y","Y","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","8","0","122","59","0","MGR","646","112","SBS","","","","","",""
"165","PLI","APP","SK65","Y","Y","Y","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","9","0","122","58","0","MGR","646","106","SBS","","","","","",""
"166","PLI","APP","SK66","Y","Y","Y","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","11","0","123","0","0","MGR","677","127","SBS","","","","","",""
"167","PLI","APP","SK67","Y","Y","Y","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","12","0","123","1","0","FIN","661","115","SBS","","","","","",""
"168","PLI","APP","SK68","Y","Y","Y","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","14","0","123","4","0","FIN","649","68","SBS","","","","","",""
"169","PLI","APP","SK67","Y","N","N","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","12","0","123","1","0","FIN","661","115","SBS","","","","","",""
"170","PLI","APP","SK70","Y","Y","Y","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","18","0","123","4","0","FIN","652","78","SBS","","","","","",""
"171","PLI","APP","SK71","Y","Y","Y","1971-08-21","Y","00005581","00","PT","MACKENZIE","55","20","0","123","7","0","FIN","634","84","SBS","","","","","",""
"172","PLI","APP","SK72","Y","Y","Y","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","21","0","123","9","0","FIN","622","77","SBS","","","","","",""
"173","PLI","APP","SK73","Y","Y","Y","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","22","0","123","10","0","FIN","616","74","SBS","","","","","",""
"174","PLI","APP","SK74","Y","Y","Y","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","24","0","123","11","0","FIN","610","78","SBS","","","","","",""
"175","PLI","APP","SK72","N","N","N","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","21","0","123","9","0","FIN","622","77","SBS","","","","","",""
"176","PLI","APP","SK76","Y","Y","Y","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","27","0","123","12","0","FIN","643","108","SBS","","","","","",""
"177","PLI","APP","SK77","Y","Y","Y","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","29","0","123","14","0","FIN","655","89","SBS","","","","","",""
"178","PLI","APP","SK78","Y","Y","Y","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","30","0","123","14","0","FIN","668","94","SBS","","","","","",""
"179","PLI","APP","SK79","Y","Y","Y","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","32","0","123","18","0","FIN","649","90","SBS","","","","","",""
"180","PLI","APP","SK77","N","N","N","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","29","0","123","14","0","FIN","655","89","SBS","","","","","",""
"181","PLI","APP","SK78","Y","N","N","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","30","0","123","14","0","FIN","668","94","SBS","","","","","",""
"182","PLI","APP","SK79","N","N","N","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","32","0","123","18","0","FIN","649","90","SBS","","","","","",""
"183","PLI","APP","SK80","Y","N","N","1971-08-23","Y","00005581","00","PT","MACKENZIE","55","33","0","123","19","0","FIN","695","102","SBS","","","","","",""
"184","PLI","APP","SK81","N","N","N","1971-08-22","Y","00005581","00","PT","MACKENZIE","55","35","0","123","22","0","FIN","762","99","SBS","","","","","",""
"185","PLI","APP","SK82","Y","N","N","1971-08-22","Y","00005581","00","PT","MACKENZIE","55","41","0","123","27","0","FIN","799","48","SBS","","","","","",""
"186","PLI","APP","SK83","Y","N","N","1971-08-22","Y","00005581","00","PT","MACKENZIE","55","44","0","123","30","0","FIN","826","72","SBS","","","","","",""
"187","PLI","APP","SK84","Y","N","N","1971-08-22","Y","00005581","00","PT","MACKENZIE","55","45","0","123","33","0","FIN","732","48","SBS","","","","","",""
"188","PLI","APP","SK85","Y","N","N","1971-08-22","Y","00005581","00","PT","MACKENZIE","55","46","0","123","35","0","FIN","738","48","SBS","","","","","",""
"189","PLI","APP","SK86","Y","N","N","1971-08-22","Y","00005581","00","PT","MACKENZIE","55","50","0","123","41","0","FIN","713","76","SBS","","","","","",""
"190","PLI","APP","SK90","Y","Y","Y","1971-08-24","Y","00005581","00","PT","MACKENZIE","55","0","0","123","2","0","MGR","622","73","SBS","","","","","",""
"191","PLI","APP","SK91","Y","Y","Y","1971-08-24","Y","00005581","00","PT","WISKERS C","54","52","0","122","53","0","MGR","668","72","SBS","","","","","",""
"192","PLI","APP","SK92","Y","Y","Y","1971-08-23","Y","00005581","00","PT","HART HWY","54","50","0","122","51","0","MGR","674","85","SBS","","","","","",""
"193","PLI","APP","SK93","Y","Y","Y","1971-08-24","Y","00005581","00","PT","HART HWY","54","47","0","122","48","0","MGR","655","40","SBS","","","","","",""
"194","PLI","APP","SK91","N","N","N","1971-08-24","Y","00005581","00","PT","WISKERS C","54","52","0","122","53","0","MGR","668","140","SBS","","","","","",""
"195","PLI","APP","SK95","Y","Y","Y","1971-08-24","Y","00005581","00","PT","BEAR L","54","27","0","122","39","0","MGR","680","80","SBS","","","","","",""
"196","PLI","APP","SK93","Y","Y","N","1971-08-24","Y","00005581","00","PT","HART HWY","54","47","0","122","48","0","MGR","655","40","SBS","","","","","",""
"197","PLI","INC","SK94","N","N","N","1971-08-24","Y","00005581","00","PT","HART HWY","54","38","0","122","43","0","MGR","643","82","SBS","","","","","",""
"198","PLI","APP","SK95","Y","Y","N","1971-08-24","Y","00005581","00","PT","BEAR L","54","27","0","122","39","0","MGR","680","80","SBS","","","","","",""
